fill	x	y	key	showSelectedlegendcolourfill
#FF0000	0	0	glmnet 1	glmnet
#0000FF	0.00243842965130456	0.00490463215258856	xgboost 1	xgboost
#000000	0	0	major.class 1	major.class
#FF0000	0	0	glmnet 2	glmnet
#0000FF	0.00340756967262991	0.0032967032967033	xgboost 2	xgboost
#000000	0	0	major.class 2	major.class
#FF0000	0	0	glmnet 3	glmnet
#0000FF	0.00266150496007743	0.00225988700564972	xgboost 3	xgboost
#000000	0	0	major.class 3	major.class
#FF0000	0	0	glmnet 4	glmnet
#0000FF	0.00342843149259214	0.00321027287319422	xgboost 4	xgboost
#000000	0	0	major.class 4	major.class
#FF0000	0	0	glmnet 5	glmnet
#0000FF	0.00304062271953296	0.00385887541345094	xgboost 5	xgboost
#000000	0	0	major.class 5	major.class
#FF0000	0	0	glmnet 6	glmnet
#0000FF	0.00232330643189044	0.00161463939720129	xgboost 6	xgboost
#000000	0	0	major.class 6	major.class
#FF0000	0	0	glmnet 7	glmnet
#0000FF	0.00243991704282054	0.00435019032082654	xgboost 7	xgboost
#000000	0	0	major.class 7	major.class
#FF0000	0	0	glmnet 8	glmnet
#0000FF	0.00217181467181467	0.0034324942791762	xgboost 8	xgboost
#000000	0	0	major.class 8	major.class
#FF0000	0	0	glmnet 9	glmnet
#0000FF	0.00268423621278673	0.00326086956521739	xgboost 9	xgboost
#000000	0	0	major.class 9	major.class
#FF0000	0	0	glmnet 1	glmnet
#0000FF	0.00243842965130456	0.00490463215258856	xgboost 1	xgboost
#000000	0	0	major.class 1	major.class
#FF0000	0	0	glmnet 2	glmnet
#0000FF	0.00340756967262991	0.0032967032967033	xgboost 2	xgboost
#000000	0	0	major.class 2	major.class
#FF0000	0	0	glmnet 3	glmnet
#0000FF	0.00266150496007743	0.00225988700564972	xgboost 3	xgboost
#000000	0	0	major.class 3	major.class
#FF0000	0	0	glmnet 4	glmnet
#0000FF	0.00342843149259214	0.00321027287319422	xgboost 4	xgboost
#000000	0	0	major.class 4	major.class
#FF0000	0	0	glmnet 5	glmnet
#0000FF	0.00304062271953296	0.00385887541345094	xgboost 5	xgboost
#000000	0	0	major.class 5	major.class
#FF0000	0	0	glmnet 6	glmnet
#0000FF	0.00232330643189044	0.00161463939720129	xgboost 6	xgboost
#000000	0	0	major.class 6	major.class
#FF0000	0	0	glmnet 7	glmnet
#0000FF	0.00243991704282054	0.00435019032082654	xgboost 7	xgboost
#000000	0	0	major.class 7	major.class
#FF0000	0	0	glmnet 8	glmnet
#0000FF	0.00217181467181467	0.0034324942791762	xgboost 8	xgboost
#000000	0	0	major.class 8	major.class
#FF0000	0	0	glmnet 9	glmnet
#0000FF	0.00268423621278673	0.00326086956521739	xgboost 9	xgboost
#000000	0	0	major.class 9	major.class
