fill	x	y	key	showSelectedlegendcolourfill	clickSelects.variable	clickSelects.value
#FF0000	0	0	glmnet 1 0	glmnet	glmnet	0
#FF0000	0.014996342355523	0.0250681198910082	glmnet 1 1	glmnet	glmnet	1
#FF0000	0.0249939039258717	0.0517711171662125	glmnet 1 2	glmnet	glmnet	2
#FF0000	0.0349914654962204	0.0741144414168937	glmnet 1 3	glmnet	glmnet	3
#FF0000	0.0449890270665691	0.0915531335149864	glmnet 1 4	glmnet	glmnet	4
#FF0000	0.0549865886369178	0.109536784741144	glmnet 1 5	glmnet	glmnet	5
#FF0000	0.0649841502072665	0.132425068119891	glmnet 1 6	glmnet	glmnet	6
#FF0000	0.0749817117776152	0.152588555858311	glmnet 1 7	glmnet	glmnet	7
#FF0000	0.0849792733479639	0.168392370572207	glmnet 1 8	glmnet	glmnet	8
#FF0000	0.0949768349183126	0.188010899182561	glmnet 1 9	glmnet	glmnet	9
#FF0000	0.104974396488661	0.214713896457766	glmnet 1 10	glmnet	glmnet	10
#FF0000	0.11497195805901	0.239782016348774	glmnet 1 11	glmnet	glmnet	11
#FF0000	0.124969519629359	0.265940054495913	glmnet 1 12	glmnet	glmnet	12
#FF0000	0.134967081199707	0.287193460490463	glmnet 1 13	glmnet	glmnet	13
#FF0000	0.144964642770056	0.308446866485014	glmnet 1 14	glmnet	glmnet	14
#FF0000	0.154962204340405	0.328065395095368	glmnet 1 15	glmnet	glmnet	15
#FF0000	0.164959765910753	0.347138964577657	glmnet 1 16	glmnet	glmnet	16
#FF0000	0.174957327481102	0.361307901907357	glmnet 1 17	glmnet	glmnet	17
#FF0000	0.184954889051451	0.37874659400545	glmnet 1 18	glmnet	glmnet	18
#FF0000	0.1949524506218	0.393460490463215	glmnet 1 19	glmnet	glmnet	19
#FF0000	0.204950012192148	0.405449591280654	glmnet 1 20	glmnet	glmnet	20
#FF0000	0.214947573762497	0.421798365122616	glmnet 1 21	glmnet	glmnet	21
#FF0000	0.224945135332846	0.434877384196185	glmnet 1 22	glmnet	glmnet	22
#FF0000	0.234942696903194	0.443596730245232	glmnet 1 23	glmnet	glmnet	23
#FF0000	0.244940258473543	0.456675749318801	glmnet 1 24	glmnet	glmnet	24
#FF0000	0.254937820043892	0.46866485013624	glmnet 1 25	glmnet	glmnet	25
#FF0000	0.26493538161424	0.480653950953679	glmnet 1 26	glmnet	glmnet	26
#FF0000	0.274932943184589	0.48991825613079	glmnet 1 27	glmnet	glmnet	27
#FF0000	0.284930504754938	0.501362397820164	glmnet 1 28	glmnet	glmnet	28
#FF0000	0.294806144842721	0.51008174386921	glmnet 1 29	glmnet	glmnet	29
#FF0000	0.304925627895635	0.523705722070845	glmnet 1 30	glmnet	glmnet	30
#FF0000	0.314923189465984	0.535149863760218	glmnet 1 31	glmnet	glmnet	31
#FF0000	0.324920751036333	0.54441416893733	glmnet 1 32	glmnet	glmnet	32
#FF0000	0.334918312606681	0.552043596730245	glmnet 1 33	glmnet	glmnet	33
#FF0000	0.34491587417703	0.560762942779292	glmnet 1 34	glmnet	glmnet	34
#FF0000	0.354913435747379	0.572207084468665	glmnet 1 35	glmnet	glmnet	35
#FF0000	0.364910997317727	0.584741144414169	glmnet 1 36	glmnet	glmnet	36
#FF0000	0.374908558888076	0.591280653950954	glmnet 1 37	glmnet	glmnet	37
#FF0000	0.384906120458425	0.601634877384196	glmnet 1 38	glmnet	glmnet	38
#FF0000	0.394903682028773	0.612534059945504	glmnet 1 39	glmnet	glmnet	39
#FF0000	0.404901243599122	0.620708446866485	glmnet 1 40	glmnet	glmnet	40
#FF0000	0.414898805169471	0.629972752043597	glmnet 1 41	glmnet	glmnet	41
#FF0000	0.42489636673982	0.640326975476839	glmnet 1 42	glmnet	glmnet	42
#FF0000	0.434893928310168	0.64850136239782	glmnet 1 43	glmnet	glmnet	43
#FF0000	0.444891489880517	0.65449591280654	glmnet 1 44	glmnet	glmnet	44
#FF0000	0.454889051450866	0.666485013623978	glmnet 1 45	glmnet	glmnet	45
#FF0000	0.464886613021214	0.674659400544959	glmnet 1 46	glmnet	glmnet	46
#FF0000	0.474884174591563	0.685013623978202	glmnet 1 47	glmnet	glmnet	47
#FF0000	0.484881736161912	0.692643051771117	glmnet 1 48	glmnet	glmnet	48
#FF0000	0.49487929773226	0.701907356948229	glmnet 1 49	glmnet	glmnet	49
#FF0000	0.504998780785174	0.706811989100817	glmnet 1 50	glmnet	glmnet	50
#FF0000	0.514996342355523	0.716621253405995	glmnet 1 51	glmnet	glmnet	51
#FF0000	0.524993903925872	0.726975476839237	glmnet 1 52	glmnet	glmnet	52
#FF0000	0.534991465496221	0.739509536784741	glmnet 1 53	glmnet	glmnet	53
#FF0000	0.544989027066569	0.746049046321526	glmnet 1 54	glmnet	glmnet	54
#FF0000	0.554986588636918	0.757493188010899	glmnet 1 55	glmnet	glmnet	55
#FF0000	0.564984150207267	0.767847411444142	glmnet 1 56	glmnet	glmnet	56
#FF0000	0.574981711777615	0.778201634877384	glmnet 1 57	glmnet	glmnet	57
#FF0000	0.584979273347964	0.790190735694823	glmnet 1 58	glmnet	glmnet	58
#FF0000	0.594976834918313	0.802724795640327	glmnet 1 59	glmnet	glmnet	59
#FF0000	0.604974396488661	0.812534059945504	glmnet 1 60	glmnet	glmnet	60
#FF0000	0.61497195805901	0.823978201634877	glmnet 1 61	glmnet	glmnet	61
#FF0000	0.624969519629359	0.831062670299728	glmnet 1 62	glmnet	glmnet	62
#FF0000	0.634967081199707	0.834877384196185	glmnet 1 63	glmnet	glmnet	63
#FF0000	0.644964642770056	0.842506811989101	glmnet 1 64	glmnet	glmnet	64
#FF0000	0.654962204340405	0.850136239782016	glmnet 1 65	glmnet	glmnet	65
#FF0000	0.664959765910754	0.857220708446867	glmnet 1 66	glmnet	glmnet	66
#FF0000	0.674957327481102	0.864850136239782	glmnet 1 67	glmnet	glmnet	67
#FF0000	0.684954889051451	0.871934604904632	glmnet 1 68	glmnet	glmnet	68
#FF0000	0.6949524506218	0.881743869209809	glmnet 1 69	glmnet	glmnet	69
#FF0000	0.704950012192148	0.889373297002725	glmnet 1 70	glmnet	glmnet	70
#FF0000	0.714947573762497	0.894277929155313	glmnet 1 71	glmnet	glmnet	71
#FF0000	0.724945135332846	0.902452316076294	glmnet 1 72	glmnet	glmnet	72
#FF0000	0.734942696903194	0.908446866485014	glmnet 1 73	glmnet	glmnet	73
#FF0000	0.744940258473543	0.911716621253406	glmnet 1 74	glmnet	glmnet	74
#FF0000	0.754937820043892	0.919891008174387	glmnet 1 75	glmnet	glmnet	75
#FF0000	0.764935381614241	0.926975476839237	glmnet 1 76	glmnet	glmnet	76
#FF0000	0.774932943184589	0.934604904632153	glmnet 1 77	glmnet	glmnet	77
#FF0000	0.784930504754938	0.942234332425068	glmnet 1 78	glmnet	glmnet	78
#FF0000	0.794928066325287	0.949863760217984	glmnet 1 79	glmnet	glmnet	79
#FF0000	0.804925627895635	0.956948228882834	glmnet 1 80	glmnet	glmnet	80
#FF0000	0.814923189465984	0.962942779291553	glmnet 1 81	glmnet	glmnet	81
#FF0000	0.824920751036333	0.965122615803815	glmnet 1 82	glmnet	glmnet	82
#FF0000	0.834918312606681	0.968392370572207	glmnet 1 83	glmnet	glmnet	83
#FF0000	0.84491587417703	0.970027247956403	glmnet 1 84	glmnet	glmnet	84
#FF0000	0.854913435747379	0.97275204359673	glmnet 1 85	glmnet	glmnet	85
#FF0000	0.864910997317727	0.978201634877384	glmnet 1 86	glmnet	glmnet	86
#FF0000	0.874908558888076	0.97983651226158	glmnet 1 87	glmnet	glmnet	87
#FF0000	0.884906120458425	0.984196185286103	glmnet 1 88	glmnet	glmnet	88
#FF0000	0.894903682028773	0.988010899182561	glmnet 1 89	glmnet	glmnet	89
#FF0000	0.904901243599122	0.989100817438692	glmnet 1 90	glmnet	glmnet	90
#FF0000	0.914898805169471	0.990190735694823	glmnet 1 91	glmnet	glmnet	91
#FF0000	0.92489636673982	0.990735694822888	glmnet 1 92	glmnet	glmnet	92
#FF0000	0.934893928310168	0.993460490463215	glmnet 1 93	glmnet	glmnet	93
#FF0000	0.944891489880517	0.995095367847411	glmnet 1 94	glmnet	glmnet	94
#FF0000	0.954889051450866	0.995640326975477	glmnet 1 95	glmnet	glmnet	95
#FF0000	0.964886613021214	0.997820163487738	glmnet 1 96	glmnet	glmnet	96
#FF0000	0.974884174591563	0.998365122615804	glmnet 1 97	glmnet	glmnet	97
#FF0000	0.984881736161912	0.999455040871935	glmnet 1 98	glmnet	glmnet	98
