fill	x	y	clickSelects.variable	clickSelects.value	showSelected1	PANEL
#0000FF	1.0259404285107e-24	18.2823552854439	xgboost	100	xgboost	1
#0000FF	3.8247289779747e-09	18.641028195676	xgboost	99	xgboost	1
#0000FF	7.73096768824643e-08	19.3982265617216	xgboost	98	xgboost	1
#0000FF	1.8393555478724e-07	20.1753512005579	xgboost	97	xgboost	1
#0000FF	2.50332597317993e-07	20.9624389757896	xgboost	96	xgboost	1
#0000FF	3.09468163095516e-07	21.7395636146259	xgboost	95	xgboost	1
#0000FF	3.63709929729339e-07	22.5665039354389	xgboost	94	xgboost	1
#0000FF	4.15070303461107e-07	23.3336654378798	xgboost	93	xgboost	1
#0000FF	4.55427155543475e-07	24.1207532131115	xgboost	92	xgboost	1
#0000FF	4.86061253468506e-07	24.8978778519478	xgboost	91	xgboost	1
#0000FF	5.2838058195448e-07	25.6351499452028	xgboost	90	xgboost	1
#0000FF	5.77310402150033e-07	26.382385174853	xgboost	89	xgboost	1
#0000FF	6.26732941100272e-07	27.1395835408987	xgboost	88	xgboost	1
#0000FF	6.78036229828649e-07	27.886818770549	xgboost	87	xgboost	1
#0000FF	7.30824950778697e-07	28.6041645910133	xgboost	86	xgboost	1
#0000FF	7.73104687823434e-07	29.2318421839195	xgboost	85	xgboost	1
#0000FF	8.08842884225669e-07	29.9491880043838	xgboost	84	xgboost	1
#0000FF	8.54339589295705e-07	30.7063863704294	xgboost	83	xgboost	1
#0000FF	9.06171493397778e-07	31.4934741456611	xgboost	82	xgboost	1
#0000FF	9.60233137448085e-07	32.230746238916	xgboost	81	xgboost	1
#0000FF	1.01493031934297e-06	32.968018332171	xgboost	80	xgboost	1
#0000FF	1.07058428966411e-06	33.7052904254259	xgboost	79	xgboost	1
#0000FF	1.11583659645476e-06	34.5222676098436	xgboost	78	xgboost	1
#0000FF	1.14333033707226e-06	35.2196871575172	xgboost	77	xgboost	1
#0000FF	1.16572982733487e-06	35.7975490684467	xgboost	76	xgboost	1
#0000FF	1.21671797614908e-06	36.4949686161204	xgboost	75	xgboost	1
#0000FF	1.2847843322561e-06	36.9134203447245	xgboost	74	xgboost	1
#0000FF	1.34568989551553e-06	37.5809504832121	xgboost	73	xgboost	1
