x	y	key	label	showSelected.variable	showSelected.value	showSelected2	PANEL	group	anchor
19.6229573535273	2	glmnet	18.149 +/- 0.394	glmnet	100	glmnet	1	2	start
20.031486648067	2	glmnet	18.563 +/- 0.391	glmnet	99	glmnet	1	2	start
20.8385811080112	2	glmnet	19.379 +/- 0.386	glmnet	98	glmnet	1	2	start
21.6456755679554	2	glmnet	20.190 +/- 0.384	glmnet	97	glmnet	1	2	start
22.4428058987645	2	glmnet	20.987 +/- 0.384	glmnet	96	glmnet	1	2	start
23.2399362295735	2	glmnet	21.779 +/- 0.386	glmnet	95	glmnet	1	2	start
24.0370665603826	2	glmnet	22.570 +/- 0.385	glmnet	94	glmnet	1	2	start
24.8242327620566	2	glmnet	23.366 +/- 0.381	glmnet	93	glmnet	1	2	start
25.6213630928657	2	glmnet	24.141 +/- 0.378	glmnet	92	glmnet	1	2	start
26.3985651654045	2	glmnet	24.925 +/- 0.379	glmnet	91	glmnet	1	2	start
27.1658031088083	2	glmnet	25.701 +/- 0.373	glmnet	90	glmnet	1	2	start
27.9031486648067	2	glmnet	26.467 +/- 0.375	glmnet	89	glmnet	1	2	start
28.7002789956158	2	glmnet	27.237 +/- 0.367	glmnet	88	glmnet	1	2	start
29.4276604224791	2	glmnet	28.003 +/- 0.362	glmnet	87	glmnet	1	2	start
30.1948983658828	2	glmnet	28.760 +/- 0.368	glmnet	86	glmnet	1	2	start
30.9820645675568	2	glmnet	29.518 +/- 0.377	glmnet	85	glmnet	1	2	start
31.7493025109605	2	glmnet	30.260 +/- 0.375	glmnet	84	glmnet	1	2	start
32.4368274212834	2	glmnet	30.992 +/- 0.371	glmnet	83	glmnet	1	2	start
33.1542447190116	2	glmnet	31.713 +/- 0.381	glmnet	82	glmnet	1	2	start
33.89159027501	2	glmnet	32.449 +/- 0.370	glmnet	81	glmnet	1	2	start
34.5691510561977	2	glmnet	33.165 +/- 0.361	glmnet	80	glmnet	1	2	start
35.2666400956556	2	glmnet	33.880 +/- 0.346	glmnet	79	glmnet	1	2	start
35.9242726185731	2	glmnet	34.559 +/- 0.355	glmnet	78	glmnet	1	2	start
36.6715823037067	2	glmnet	35.279 +/- 0.355	glmnet	77	glmnet	1	2	start
37.4089278597051	2	glmnet	35.986 +/- 0.336	glmnet	76	glmnet	1	2	start
38.0964527700279	2	glmnet	36.689 +/- 0.324	glmnet	75	glmnet	1	2	start
38.7540852929454	2	glmnet	37.391 +/- 0.320	glmnet	74	glmnet	1	2	start
39.4515743324033	2	glmnet	38.075 +/- 0.327	glmnet	73	glmnet	1	2	start
40.1490633718613	2	glmnet	38.796 +/- 0.331	glmnet	72	glmnet	1	2	start
40.8864089278597	2	glmnet	39.500 +/- 0.345	glmnet	71	glmnet	1	2	start
41.6038262255879	2	glmnet	40.163 +/- 0.345	glmnet	70	glmnet	1	2	start
42.2614587485054	2	glmnet	40.833 +/- 0.361	glmnet	69	glmnet	1	2	start
42.9390195296931	2	glmnet	41.481 +/- 0.360	glmnet	68	glmnet	1	2	start
43.5966520526106	2	glmnet	42.155 +/- 0.350	glmnet	67	glmnet	1	2	start
44.2243921881228	2	glmnet	42.820 +/- 0.350	glmnet	66	glmnet	1	2	start
44.8720605819051	2	glmnet	43.447 +/- 0.369	glmnet	65	glmnet	1	2	start
