colour	x	y	key	showSelected.variable	showSelected.value	showSelected2	PANEL	fill
#FF0000	18.2823552854439	2	glmnet 1	glmnet	100	glmnet	1	#FF0000
#FF0000	18.700807014048	2	glmnet 1	glmnet	99	glmnet	1	#FF0000
#FF0000	19.5078210620703	2	glmnet 1	glmnet	98	glmnet	1	#FF0000
#FF0000	20.3048719736973	2	glmnet 1	glmnet	97	glmnet	1	#FF0000
#FF0000	21.1118860217196	2	glmnet 1	glmnet	96	glmnet	1	#FF0000
#FF0000	21.8890106605559	2	glmnet 1	glmnet	95	glmnet	1	#FF0000
#FF0000	22.6960247085783	2	glmnet 1	glmnet	94	glmnet	1	#FF0000
#FF0000	23.4831124838099	2	glmnet 1	glmnet	93	glmnet	1	#FF0000
#FF0000	24.2502739862509	2	glmnet 1	glmnet	92	glmnet	1	#FF0000
#FF0000	25.0572880342732	2	glmnet 1	glmnet	91	glmnet	1	#FF0000
#FF0000	25.8543389459002	2	glmnet 1	glmnet	90	glmnet	1	#FF0000
#FF0000	26.6513898575272	2	glmnet 1	glmnet	89	glmnet	1	#FF0000
#FF0000	27.3986250871774	2	glmnet 1	glmnet	88	glmnet	1	#FF0000
#FF0000	28.1358971804324	2	glmnet 1	glmnet	87	glmnet	1	#FF0000
#FF0000	28.922984955664	2	glmnet 1	glmnet	86	glmnet	1	#FF0000
#FF0000	29.6403307761283	2	glmnet 1	glmnet	85	glmnet	1	#FF0000
#FF0000	30.4074922785693	2	glmnet 1	glmnet	84	glmnet	1	#FF0000
#FF0000	31.1945800538009	2	glmnet 1	glmnet	83	glmnet	1	#FF0000
#FF0000	31.9517784198466	2	glmnet 1	glmnet	82	glmnet	1	#FF0000
#FF0000	32.7289030586829	2	glmnet 1	glmnet	81	glmnet	1	#FF0000
#FF0000	33.4362857427518	2	glmnet 1	glmnet	80	glmnet	1	#FF0000
#FF0000	34.1237421540301	2	glmnet 1	glmnet	79	glmnet	1	#FF0000
#FF0000	34.801235428913	2	glmnet 1	glmnet	78	glmnet	1	#FF0000
#FF0000	35.478728703796	2	glmnet 1	glmnet	77	glmnet	1	#FF0000
#FF0000	36.1562219786789	2	glmnet 1	glmnet	76	glmnet	1	#FF0000
#FF0000	36.8436783899572	2	glmnet 1	glmnet	75	glmnet	1	#FF0000
#FF0000	37.5112085284448	2	glmnet 1	glmnet	74	glmnet	1	#FF0000
#FF0000	38.2684068944904	2	glmnet 1	glmnet	73	glmnet	1	#FF0000
#FF0000	38.9757895785593	2	glmnet 1	glmnet	72	glmnet	1	#FF0000
#FF0000	39.6433197170469	2	glmnet 1	glmnet	71	glmnet	1	#FF0000
#FF0000	40.3706286739066	2	glmnet 1	glmnet	70	glmnet	1	#FF0000
#FF0000	41.0481219487895	2	glmnet 1	glmnet	69	glmnet	1	#FF0000
#FF0000	41.6857626780911	2	glmnet 1	glmnet	68	glmnet	1	#FF0000
#FF0000	42.3732190893693	2	glmnet 1	glmnet	67	glmnet	1	#FF0000
#FF0000	43.0507123642523	2	glmnet 1	glmnet	66	glmnet	1	#FF0000
#FF0000	43.7381687755305	2	glmnet 1	glmnet	65	glmnet	1	#FF0000
#FF0000	44.4156620504135	2	glmnet 1	glmnet	64	glmnet	1	#FF0000
#FF0000	45.0931553252964	2	glmnet 1	glmnet	63	glmnet	1	#FF0000
#FF0000	45.8403905549467	2	glmnet 1	glmnet	62	glmnet	1	#FF0000
#FF0000	46.527846966225	2	glmnet 1	glmnet	61	glmnet	1	#FF0000
#FF0000	47.1355982863405	2	glmnet 1	glmnet	60	glmnet	1	#FF0000
#FF0000	47.7732390156421	2	glmnet 1	glmnet	59	glmnet	1	#FF0000
#FF0000	48.361064062967	2	glmnet 1	glmnet	58	glmnet	1	#FF0000
#FF0000	48.9588522466873	2	glmnet 1	glmnet	57	glmnet	1	#FF0000
#FF0000	49.5865298395935	2	glmnet 1	glmnet	56	glmnet	1	#FF0000
#FF0000	50.2142074324998	2	glmnet 1	glmnet	55	glmnet	1	#FF0000
#FF0000	50.8219587526153	2	glmnet 1	glmnet	54	glmnet	1	#FF0000
#FF0000	51.5193783002889	2	glmnet 1	glmnet	53	glmnet	1	#FF0000
#FF0000	52.1072033476138	2	glmnet 1	glmnet	52	glmnet	1	#FF0000
#FF0000	52.7348809405201	2	glmnet 1	glmnet	51	glmnet	1	#FF0000
#FF0000	53.3725216698217	2	glmnet 1	glmnet	50	glmnet	1	#FF0000
#FF0000	54.1097937630766	2	glmnet 1	glmnet	49	glmnet	1	#FF0000
#FF0000	54.7573976287735	2	glmnet 1	glmnet	48	glmnet	1	#FF0000
#FF0000	55.4348909036565	2	glmnet 1	glmnet	47	glmnet	1	#FF0000
#FF0000	56.0625684965627	2	glmnet 1	glmnet	46	glmnet	1	#FF0000
#FF0000	56.7300986350503	2	glmnet 1	glmnet	45	glmnet	1	#FF0000
#FF0000	57.3278868187706	2	glmnet 1	glmnet	44	glmnet	1	#FF0000
#FF0000	58.0352695028395	2	glmnet 1	glmnet	43	glmnet	1	#FF0000
#FF0000	58.7027996413271	2	glmnet 1	glmnet	42	glmnet	1	#FF0000
#FF0000	59.3304772342333	2	glmnet 1	glmnet	41	glmnet	1	#FF0000
#FF0000	59.9780810999303	2	glmnet 1	glmnet	40	glmnet	1	#FF0000
#FF0000	60.6456112384179	2	glmnet 1	glmnet	39	glmnet	1	#FF0000
#FF0000	61.2633256949288	2	glmnet 1	glmnet	38	glmnet	1	#FF0000
#FF0000	61.891003287835	2	glmnet 1	glmnet	37	glmnet	1	#FF0000
#FF0000	62.5884228355086	2	glmnet 1	glmnet	36	glmnet	1	#FF0000
#FF0000	63.1762478828335	2	glmnet 1	glmnet	35	glmnet	1	#FF0000
#FF0000	63.7839992029491	2	glmnet 1	glmnet	34	glmnet	1	#FF0000
#FF0000	64.4415662050414	2	glmnet 1	glmnet	33	glmnet	1	#FF0000
#FF0000	65.1190594799243	2	glmnet 1	glmnet	32	glmnet	1	#FF0000
#FF0000	65.7666633456212	2	glmnet 1	glmnet	31	glmnet	1	#FF0000
#FF0000	66.3744146657368	2	glmnet 1	glmnet	30	glmnet	1	#FF0000
#FF0000	66.9522765766663	2	glmnet 1	glmnet	29	glmnet	1	#FF0000
#FF0000	67.5998804423633	2	glmnet 1	glmnet	28	glmnet	1	#FF0000
#FF0000	68.2076317624788	2	glmnet 1	glmnet	27	glmnet	1	#FF0000
#FF0000	68.8552356281758	2	glmnet 1	glmnet	26	glmnet	1	#FF0000
